FID_,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,³¤¶È,X,Y,ORIG_FID
,Line,0,146,Continuous,0,25, ,1.837919,-84.351997,11.2995,17
,Line,0,146,Continuous,0,25, ,14.224399,-84.351997,11.2995,18
,Line,0,146,Continuous,0,25, ,14.224399,-70.127601,11.2995,18
,Line,0,146,Continuous,0,25, ,1.552639,-70.127601,11.2995,19
,Line,0,146,Continuous,0,25, ,1.552639,-70.127601,12.8521,19
,Line,0,146,Continuous,0,25, ,11.259099,-70.127601,11.2995,20
,Line,0,146,Continuous,0,25, ,11.259099,-58.868499,11.2995,20
,Line,0,146,Continuous,0,25, ,1.105419,-58.868499,11.2995,21
,Line,0,146,Continuous,0,25, ,1.105419,-58.868499,12.404899,21
,Line,0,146,Continuous,0,25, ,2.165019,-58.868499,11.2995,22
,Line,0,146,Continuous,0,25, ,2.165019,-56.703498,11.2995,22
,Line,0,146,Continuous,0,25, ,13.619099,-56.703498,11.2995,23
